ds,y
2015-07-01,3635.0
2015-07-02,3507.0
2015-07-03,3297.0
2015-07-04,3679.0
2015-07-05,6143.0
2015-07-06,5485.0
2015-07-07,5652.0
2015-07-08,5343.0
2015-07-09,5003.0
2015-07-10,5196.0
2015-07-11,5058.0
2015-07-12,5516.0
2015-07-13,5870.0
2015-07-14,9223.0
2015-07-15,7953.0
2015-07-16,6221.0
2015-07-17,5225.0
2015-07-18,5229.0
2015-07-19,5938.0
2015-07-20,5786.0
2015-07-21,6189.0
2015-07-22,6316.0
2015-07-23,5366.0
2015-07-24,5074.0
2015-07-25,5025.0
2015-07-26,5949.0
2015-07-27,5605.0
2015-07-28,5995.0
2015-07-29,5813.0
2015-07-30,4910.0
2015-07-31,5099.0
2015-08-01,5652.0
2015-08-02,5863.0
2015-08-03,5044.0
2015-08-04,5635.0
2015-08-05,5631.0
2015-08-06,4827.0
2015-08-07,4689.0
2015-08-08,4518.0
2015-08-09,5435.0
2015-08-10,5160.0
2015-08-11,5742.0
2015-08-12,5215.0
2015-08-13,4898.0
2015-08-14,4511.0
2015-08-15,4673.0
2015-08-16,5842.0
2015-08-17,5523.0
2015-08-18,6044.0
2015-08-19,6350.0
2015-08-20,5525.0
2015-08-21,4751.0
2015-08-22,4774.0
2015-08-23,5886.0
2015-08-24,5413.0
2015-08-25,5375.0
2015-08-26,5656.0
2015-08-27,4571.0
2015-08-28,4386.0
2015-08-29,4566.0
2015-08-30,5271.0
2015-08-31,5276.0
2015-09-01,5168.0
2015-09-02,5725.0
2015-09-03,4561.0
2015-09-04,4407.0
2015-09-05,4504.0
2015-09-06,5483.0
2015-09-07,5368.0
2015-09-08,5158.0
2015-09-09,4542.0
2015-09-10,4277.0
2015-09-11,3950.0
2015-09-12,4047.0
2015-09-13,4865.0
2015-09-14,4723.0
2015-09-15,4208.0
2015-09-16,4019.0
2015-09-17,3755.0
2015-09-18,3397.0
2015-09-19,5151.0
2015-09-20,4857.0
2015-09-21,4478.0
2015-09-22,4135.0
2015-09-23,3986.0
2015-09-24,3686.0
2015-09-25,3288.0
2015-09-26,3526.0
2015-09-27,4163.0
2015-09-28,3926.0
2015-09-29,3849.0
2015-09-30,3536.0
2015-10-01,3974.0
2015-10-02,4051.0
2015-10-03,3772.0
2015-10-04,4087.0
2015-10-05,4096.0
2015-10-06,3662.0
2015-10-07,3575.0
2015-10-08,3347.0
2015-10-09,3524.0
2015-10-10,3815.0
2015-10-11,4402.0
2015-10-12,4084.0
2015-10-13,3874.0
2015-10-14,3480.0
2015-10-15,3332.0
2015-10-16,3088.0
2015-10-17,3274.0
2015-10-18,4234.0
2015-10-19,3821.0
2015-10-20,3313.0
2015-10-21,3190.0
2015-10-22,3149.0
2015-10-23,3028.0
2015-10-24,3274.0
2015-10-25,4200.0
2015-10-26,3509.0
2015-10-27,3287.0
2015-10-28,2934.0
2015-10-29,2971.0
2015-10-30,2866.0
2015-10-31,2780.0
2015-11-01,4035.0
2015-11-02,3708.0
2015-11-03,3733.0
2015-11-04,3762.0
2015-11-05,3248.0
2015-11-06,3113.0
2015-11-07,3513.0
2015-11-08,4874.0
2015-11-09,4050.0
2015-11-10,3561.0
2015-11-11,3655.0
2015-11-12,3336.0
2015-11-13,3183.0
2015-11-14,3129.0
2015-11-15,4188.0
2015-11-16,3745.0
2015-11-17,3440.0
2015-11-18,3193.0
2015-11-19,3004.0
2015-11-20,2868.0
2015-11-21,3118.0
2015-11-22,4076.0
2015-11-23,3698.0
2015-11-24,3487.0
2015-11-25,3109.0
2015-11-26,3048.0
2015-11-27,3809.0
2015-11-28,4129.0
2015-11-29,4867.0
2015-11-30,4799.0
2015-12-01,3828.0
2015-12-02,3597.0
2015-12-03,3533.0
2015-12-04,3384.0
2015-12-05,3660.0
2015-12-06,4675.0
2015-12-07,4511.0
2015-12-08,4315.0
2015-12-09,4137.0
2015-12-10,3773.0
2015-12-11,3550.0
2015-12-12,3841.0
2015-12-13,4597.0
2015-12-14,4433.0
2015-12-15,4147.0
2015-12-16,3529.0
2015-12-17,3519.0
2015-12-18,3314.0
2015-12-19,3460.0
2015-12-20,4016.0
2015-12-21,4180.0
2015-12-22,3828.0
2015-12-23,3529.0
2015-12-24,4406.0
2015-12-25,4196.0
2015-12-26,4663.0
2015-12-27,6484.0
2015-12-28,6547.0
2015-12-29,5935.0
2015-12-30,5757.0
2015-12-31,5336.0
2016-01-01,5471.0
2016-01-02,7001.0
2016-01-03,7901.0
2016-01-04,7511.0
2016-01-05,6632.0
2016-01-06,7894.0
2016-01-07,7759.0
2016-01-08,7900.0
2016-01-09,10214.0
2016-01-10,12266.0
2016-01-11,10705.0
2016-01-12,9102.0
2016-01-13,8634.0
2016-01-14,8825.0
2016-01-15,9228.0
2016-01-16,11048.0
2016-01-17,13253.0
2016-01-18,12116.0
2016-01-19,11235.0
2016-01-20,10011.0
2016-01-21,9799.0
2016-01-22,11791.0
2016-01-23,20323.0
2016-01-24,29769.0
2016-01-25,22169.0
2016-01-26,15530.0
2016-01-27,12895.0
2016-01-28,11368.0
2016-01-29,11437.0
2016-01-30,15036.0
2016-01-31,24064.0
2016-02-01,18441.0
2016-02-02,13111.0
2016-02-03,11114.0
2016-02-04,9369.0
2016-02-05,8902.0
2016-02-06,11412.0
2016-02-07,18960.0
2016-02-08,13673.0
2016-02-09,11191.0
2016-02-10,9688.0
2016-02-11,9002.0
2016-02-12,8219.0
2016-02-13,10776.0
2016-02-14,17375.0
2016-02-15,14051.0
2016-02-16,10986.0
2016-02-17,9549.0
2016-02-18,8570.0
2016-02-19,8002.0
2016-02-20,10494.0
2016-02-21,17391.0
2016-02-22,13232.0
2016-02-23,9688.0
2016-02-24,8378.0
2016-02-25,7811.0
2016-02-26,7250.0
2016-02-27,9520.0
2016-02-28,16549.0
2016-02-29,12121.0
2016-03-01,9228.0
2016-03-02,7873.0
2016-03-03,7812.0
2016-03-04,7014.0
2016-03-05,9269.0
2016-03-06,16546.0
2016-03-07,12682.0
2016-03-08,9355.0
2016-03-09,7979.0
2016-03-10,7738.0
2016-03-11,7038.0
2016-03-12,9222.0
2016-03-13,16278.0
2016-03-14,12398.0
2016-03-15,10125.0
2016-03-16,8553.0
2016-03-17,7907.0
2016-03-18,7369.0
2016-03-19,10423.0
2016-03-20,21618.0
2016-03-21,15061.0
2016-03-22,10638.0
2016-03-23,9386.0
2016-03-24,8827.0
2016-03-25,9125.0
2016-03-26,15989.0
2016-03-27,31541.0
2016-03-28,23120.0
2016-03-29,15690.0
2016-03-30,12348.0
2016-03-31,10378.0
2016-04-01,9448.0
2016-04-02,11731.0
2016-04-03,15638.0
2016-04-04,12262.0
2016-04-05,9393.0
2016-04-06,9911.0
2016-04-07,8127.0
2016-04-08,7365.0
2016-04-09,7727.0
2016-04-10,9910.0
2016-04-11,8698.0
2016-04-12,6903.0
2016-04-13,6540.0
2016-04-14,6191.0
2016-04-15,5387.0
2016-04-16,5742.0
2016-04-17,6956.0
2016-04-18,6561.0
2016-04-19,6464.0
2016-04-20,6003.0
2016-04-21,5745.0
2016-04-22,5513.0
2016-04-23,5835.0
2016-04-24,7004.0
2016-04-25,6199.0
2016-04-26,5701.0
2016-04-27,5494.0
2016-04-28,5098.0
2016-04-29,4754.0
2016-04-30,4798.0
2016-05-01,5849.0
2016-05-02,5767.0
2016-05-03,5135.0
2016-05-04,4916.0
2016-05-05,4936.0
2016-05-06,4419.0
2016-05-07,4632.0
2016-05-08,5390.0
2016-05-09,5526.0
2016-05-10,4988.0
2016-05-11,5170.0
2016-05-12,4709.0
2016-05-13,4590.0
2016-05-14,4702.0
2016-05-15,5600.0
2016-05-16,5358.0
2016-05-17,5293.0
2016-05-18,5121.0
2016-05-19,4807.0
2016-05-20,4744.0
2016-05-21,5255.0
2016-05-22,5642.0
2016-05-23,4940.0
2016-05-24,4908.0
2016-05-25,4806.0
2016-05-26,4664.0
2016-05-27,4244.0
2016-05-28,4665.0
2016-05-29,5224.0
2016-05-30,5065.0
2016-05-31,5024.0
2016-06-01,4413.0
2016-06-02,4409.0
2016-06-03,3849.0
2016-06-04,4382.0
2016-06-05,5102.0
2016-06-06,4607.0
2016-06-07,4509.0
2016-06-08,4450.0
2016-06-09,4016.0
2016-06-10,3846.0
2016-06-11,3934.0
2016-06-12,4629.0
2016-06-13,4032.0
2016-06-14,4262.0
2016-06-15,3818.0
2016-06-16,3778.0
2016-06-17,3400.0
2016-06-18,3771.0
2016-06-19,4439.0
2016-06-20,4188.0
2016-06-21,4195.0
2016-06-22,3922.0
2016-06-23,3841.0
2016-06-24,3487.0
2016-06-25,3867.0
2016-06-26,4634.0
2016-06-27,4244.0
2016-06-28,4451.0
2016-06-29,4385.0
2016-06-30,4918.0
2016-07-01,4434.0
